model,ddp,eddpcpu,eddpcpu_thelast
shufflenetv2,0.45506946245829255,0.3387432098388665,0.36422517895698503
resnet50,0.8716621796290065,0.5063993968069536,0.5122445225715625
vgg19,1.1384520530700677,0.7759611234068848,1.0182151645421935
ncf,0.031148314476013152,0.015078265219926812,0.02698341012001035
yolov3,0.6138104995091739,0.48015027120709314,0.5669390112161625
bert,0.8292179902394605,0.650971695780752,0.8446649760007789
electra,0.8449404239654529,0.6583959851413947,0.8902074545621856
swintransformer,0.6663680871327712,0.6039911471307216,0.6437956988811482
