model,disable,enable
shufflenetv2,0.3349987063556904,0.3387432098388665
resnet50,0.5078150667249757,0.5063993968069536
vgg19,0.7754808515310272,0.7759611234068848
ncf,0.015092488378286261,0.015078265219926812
yolov3,0.48261589743196515,0.48015027120709314
bert,0.651070974767206,0.650971695780752
electra,0.6456583067774367,0.6583959851413947
swintransformer,0.6029098108410786,0.6039911471307216
